data,descricao,categoria,tipo,valor,conta,instituicao,status
2026-01-05,Salário mensal janeiro,Salário,entrada,12874.00,Conta corrente,Banco Aurora,confirmado
2026-01-06,Aluguel residencial janeiro,Aluguel,saida,2600.00,Conta corrente,Banco Aurora,confirmado
2026-01-07,Compra de supermercado 1 janeiro,Alimentação,saida,620.00,Cartão de crédito,Banco Horizonte,confirmado
2026-01-08,Plano de saúde janeiro,Saúde,saida,650.00,Conta corrente,Banco Aurora,confirmado
2026-01-09,Curso de especialização janeiro,Educação,saida,500.00,Conta corrente,Banco Horizonte,confirmado
2026-01-10,Internet residencial janeiro,Internet,saida,120.00,Cartão de crédito,Banco Horizonte,confirmado
2026-01-11,Conta de energia janeiro,Energia,saida,185.00,Conta corrente,Banco Aurora,confirmado
2026-01-12,Conta de água janeiro,Água,saida,85.00,Conta corrente,Banco Aurora,confirmado
2026-01-14,Transporte e combustível janeiro,Transporte,saida,380.00,Cartão de crédito,Banco Horizonte,confirmado
2026-01-15,Aporte em CDB janeiro,Investimentos,investimento,1200.00,Conta investimentos,Corretora Atlas,confirmado
2026-01-18,Compra de supermercado 2 janeiro,Alimentação,saida,580.00,Cartão de crédito,Banco Horizonte,confirmado
2026-01-20,Restaurante e lazer janeiro,Lazer,saida,280.00,Cartão de crédito,Banco Horizonte,confirmado
2026-01-22,Farmácia e cuidados pessoais janeiro,Saúde,saida,160.00,Cartão de crédito,Banco Horizonte,confirmado
2026-01-25,Aporte em Tesouro Selic janeiro,Investimentos,investimento,500.00,Conta investimentos,Corretora Atlas,confirmado
2026-02-05,Salário mensal fevereiro,Salário,entrada,12874.00,Conta corrente,Banco Aurora,confirmado
2026-02-06,Aluguel residencial fevereiro,Aluguel,saida,2600.00,Conta corrente,Banco Aurora,confirmado
2026-02-07,Compra de supermercado 1 fevereiro,Alimentação,saida,620.00,Cartão de crédito,Banco Horizonte,confirmado
2026-02-08,Plano de saúde fevereiro,Saúde,saida,650.00,Conta corrente,Banco Aurora,confirmado
2026-02-09,Curso de especialização fevereiro,Educação,saida,500.00,Conta corrente,Banco Horizonte,confirmado
2026-02-10,Internet residencial fevereiro,Internet,saida,120.00,Cartão de crédito,Banco Horizonte,confirmado
2026-02-11,Conta de energia fevereiro,Energia,saida,185.00,Conta corrente,Banco Aurora,confirmado
2026-02-12,Conta de água fevereiro,Água,saida,85.00,Conta corrente,Banco Aurora,confirmado
2026-02-14,Transporte e combustível fevereiro,Transporte,saida,380.00,Cartão de crédito,Banco Horizonte,confirmado
2026-02-15,Aporte em CDB fevereiro,Investimentos,investimento,1200.00,Conta investimentos,Corretora Atlas,confirmado
2026-02-18,Compra de supermercado 2 fevereiro,Alimentação,saida,580.00,Cartão de crédito,Banco Horizonte,confirmado
2026-02-20,Restaurante e lazer fevereiro,Lazer,saida,280.00,Cartão de crédito,Banco Horizonte,confirmado
2026-02-22,Farmácia e cuidados pessoais fevereiro,Saúde,saida,160.00,Cartão de crédito,Banco Horizonte,confirmado
